DATE_DEBUT,DATE_FIN,BASE
2012-07-23,2013-07-31,
2013-08-01,2014-10-31,
2014-11-01,2015-07-31,
2015-08-01,2016-07-31,
2016-08-01,2017-07-31,
2017-08-01,2018-01-31,
2018-02-01,2018-07-31,
2018-08-01,2019-05-31,0.14542252288663435
2019-06-01,2019-07-31,0.15387048291092145
2019-08-01,2020-01-31,0.15322800430575767
2020-02-01,2020-07-31,0.15569510246890533
2020-08-01,2021-01-31,0.15682444457687675
2021-02-01,2021-07-31,0.15954933349225212
2021-08-01,2022-01-31,0.15718534673348045
2022-02-01,2022-07-31,0.174
2022-08-01,2023-01-31,0.174
2023-02-01,2023-07-31,0.2062
2023-08-01,2024-01-31,0.2276
2024-02-01,2025-01-31,0.2516
2025-02-01,2025-07-31,0.2016
2025-08-01,2026-01-31,0.1952
2026-02-01,2026-07-31,0.194
